TradeId, Spot, Strike, timeToMaturity, IR, Sigma, OptionPrice, timeTaken 
TID_0_bumped_ir_0.7000,78.81092554,78.81092554,1.970273138,0.158725204,0.591081942,29.89303454,2.0225048065185547ms
TID_0_bumped_ir_-0.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.591081942,29.81599575,2.0003318786621094ms
TID_0_bumped_ir_-0.4000,78.81092554,78.81092554,1.970273138,0.156991364,0.591081942,29.77199011,2.087116241455078ms
TID_0_bumped_ir_-0.3000,78.81092554,78.81092554,1.970273138,0.157148986,0.591081942,29.78299128,1.9838809967041016ms
TID_0_bumped_ir_0.9000,78.81092554,78.81092554,1.970273138,0.159040448,0.591081942,29.91507128,2.000093460083008ms
TID_0_bumped_ir_0.1000,78.81092554,78.81092554,1.970273138,0.157779473,0.591081942,29.82699756,1.9996166229248047ms
TID_0_bumped_ir_-1.0000,78.81092554,78.81092554,1.970273138,0.156045633,0.591081942,29.70598641,2.000570297241211ms
TID_0_bumped_ir_0.6000,78.81092554,78.81092554,1.970273138,0.158567582,0.591081942,29.8820164,3.0868053436279297ms
TID_0_bumped_ir_0.8000,78.81092554,78.81092554,1.970273138,0.158882826,0.591081942,29.90405283,1.9969940185546875ms
TID_0_bumped_ir_1.0000,78.81092554,78.81092554,1.970273138,0.15919807,0.591081942,29.92608989,1.0001659393310547ms
TID_0_bumped_ir_-0.8000,78.81092554,78.81092554,1.970273138,0.156360876,0.591081942,29.72798701,2.0074844360351562ms
TID_0_bumped_ir_-0.2000,78.81092554,78.81092554,1.970273138,0.157306607,0.591081942,29.79399261,2.0034313201904297ms
TID_0_bumped_ir_-0.6000,78.81092554,78.81092554,1.970273138,0.15667612,0.591081942,29.74998824,2.992868423461914ms
TID_0_bumped_ir_0.2000,78.81092554,78.81092554,1.970273138,0.157937095,0.591081942,29.83799952,2.0210742950439453ms
TID_0_bumped_ir_-0.1000,78.81092554,78.81092554,1.970273138,0.157464229,0.591081942,29.8049941,1.9996166229248047ms
TID_0_bumped_vol_-8.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.543795386,29.34966148,1.9924640655517578ms
TID_0_bumped_vol_-2.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.579260303,29.69761214,2.0737648010253906ms
TID_0_bumped_vol_2.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.60290358,29.93544982,1.997232437133789ms
TID_0_bumped_vol_8.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.638368497,30.29722496,2.008676528930664ms
TID_0_bumped_vol_-9.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.537884567,29.29305238,2.0029544830322266ms
TID_0_bumped_vol_9.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.644279316,30.35994094,2.0074844360351562ms
TID_0_bumped_vol_-10.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.531973747,29.23660447,1.0008811950683594ms
TID_0_bumped_vol_-3.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.573349483,29.63906817,2.001047134399414ms
TID_0_bumped_vol_3.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.6088144,29.99429546,1.0001659393310547ms
TID_0_bumped_vol_-4.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.567438664,29.58071753,2.000093460083008ms
TID_0_bumped_vol_-1.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.585171122,29.75630348,1.0018348693847656ms
TID_0_bumped_vol_1.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.596992761,29.87573714,1.0013580322265625ms
TID_0_bumped_vol_4.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.614725219,30.05116784,1.0013580322265625ms
TID_0_bumped_vol_-5.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.561527844,29.52232722,1.9979476928710938ms
TID_0_bumped_vol_5.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.620636039,30.10831704,1.9996166229248047ms
TID_0_bumped_vol_-6.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.555617025,29.46420494,0.9999275207519531ms
TID_0_bumped_vol_6.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.626546858,30.17107672,1.9998550415039062ms
TID_0_bumped_vol_-7.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.549706206,29.4066407,0.9987354278564453ms
TID_0_bumped_vol_7.0000,78.81092554,78.81092554,1.970273138,0.157621851,0.632457677,30.23406928,2.0041465759277344ms
TID_0_bumped_time_to_maturity_-34.0000,78.81092554,78.81092554,1.300380271,0.157621851,0.591081942,23.67207921,1.0840892791748047ms
TID_0_bumped_time_to_maturity_-9.0000,78.81092554,78.81092554,1.792948556,0.157621851,0.591081942,28.37700181,1.001119613647461ms
TID_0_bumped_time_to_maturity_-39.0000,78.81092554,78.81092554,1.201866614,0.157621851,0.591081942,22.60130381,2.040386199951172ms
TID_0_bumped_time_to_maturity_-44.0000,78.81092554,78.81092554,1.103352958,0.157621851,0.591081942,21.48538635,2.072572708129883ms
TID_0_bumped_time_to_maturity_-49.0000,78.81092554,78.81092554,1.004839301,0.157621851,0.591081942,20.32154239,1.0781288146972656ms
TID_0_bumped_time_to_maturity_-54.0000,78.81092554,78.81092554,0.906325644,0.157621851,0.591081942,19.10574267,3.002166748046875ms
TID_0_bumped_time_to_maturity_-14.0000,78.81092554,78.81092554,1.694434899,0.157621851,0.591081942,27.52036411,1.9464492797851562ms
TID_0_bumped_time_to_maturity_-59.0000,78.81092554,78.81092554,0.807811987,0.157621851,0.591081942,17.83359089,1.9528865814208984ms
TID_0_bumped_time_to_maturity_-64.0000,78.81092554,78.81092554,0.70929833,0.157621851,0.591081942,16.49812272,0.9975433349609375ms
TID_0_bumped_time_to_maturity_-4.0000,78.81092554,78.81092554,1.891462213,0.157621851,0.591081942,29.19305527,2.0775794982910156ms
TID_0_bumped_time_to_maturity_-69.0000,78.81092554,78.81092554,0.610784673,0.157621851,0.591081942,15.09030644,2.0415782928466797ms
TID_0_bumped_time_to_maturity_-74.0000,78.81092554,78.81092554,0.512271016,0.157621851,0.591081942,13.59583344,3.005504608154297ms
TID_0_bumped_time_to_maturity_-79.0000,78.81092554,78.81092554,0.413757359,0.157621851,0.591081942,11.99227787,2.0003318786621094ms
TID_0_bumped_time_to_maturity_-19.0000,78.81092554,78.81092554,1.595921242,0.157621851,0.591081942,26.62184474,2.0003318786621094ms
TID_0_bumped_time_to_maturity_-84.0000,78.81092554,78.81092554,0.315243702,0.157621851,0.591081942,10.24226566,2.082347869873047ms
TID_0_bumped_time_to_maturity_-89.0000,78.81092554,78.81092554,0.216730045,0.157621851,0.591081942,8.272906214,2.0020008087158203ms
